"publication_year per year","contributors.contributorType: Descending",Count
315529200000,HostingInstitution,2812
315529200000,DataCollector,2765
315529200000,DataManager,2251
315529200000,Other,559
315529200000,RelatedPerson,339
315529200000,Editor,190
315529200000,RightsHolder,102
315529200000,ContactPerson,73
315529200000,Distributor,69
315529200000,Sponsor,49
315529200000,Supervisor,35
315529200000,DataCurator,27
315529200000,ResearchGroup,24
315529200000,Researcher,3
315529200000,ProjectLeader,2
315529200000,ProjectManager,2
315529200000,ProjectMember,1
347151600000,HostingInstitution,1907
347151600000,DataManager,1482
347151600000,DataCollector,1394
347151600000,Other,550
347151600000,RelatedPerson,290
347151600000,Editor,175
347151600000,Distributor,69
347151600000,RightsHolder,59
347151600000,Supervisor,44
347151600000,Sponsor,37
347151600000,ContactPerson,31
347151600000,DataCurator,24
347151600000,ResearchGroup,18
347151600000,Researcher,2
378687600000,HostingInstitution,2334
378687600000,DataManager,1635
378687600000,DataCollector,1561
378687600000,Other,721
378687600000,Editor,301
378687600000,RelatedPerson,287
378687600000,RightsHolder,139
378687600000,Sponsor,80
378687600000,Distributor,73
378687600000,ContactPerson,51
378687600000,Producer,33
378687600000,Supervisor,28
378687600000,DataCurator,14
378687600000,ResearchGroup,13
378687600000,Researcher,2
410223600000,HostingInstitution,2749
410223600000,DataManager,2007
410223600000,Other,635
410223600000,DataCollector,580
410223600000,Editor,349
410223600000,RelatedPerson,323
410223600000,RightsHolder,93
410223600000,Sponsor,90
410223600000,Distributor,67
410223600000,ContactPerson,56
410223600000,Supervisor,46
410223600000,DataCurator,20
410223600000,ResearchGroup,19
410223600000,Producer,8
410223600000,Researcher,5
410223600000,Funder,2
410223600000,RegistrationAuthority,1
441759600000,HostingInstitution,2763
441759600000,DataCollector,1949
441759600000,DataManager,1711
441759600000,Other,636
441759600000,Editor,308
441759600000,RelatedPerson,305
441759600000,RightsHolder,92
441759600000,Sponsor,84
441759600000,Distributor,75
441759600000,ContactPerson,68
441759600000,Supervisor,55
441759600000,ResearchGroup,24
441759600000,Producer,23
441759600000,DataCurator,18
441759600000,Researcher,5
473382000000,DataCollector,3813
473382000000,HostingInstitution,2529
473382000000,DataManager,1662
473382000000,Other,728
473382000000,Editor,391
473382000000,RelatedPerson,320
473382000000,RightsHolder,177
473382000000,ContactPerson,96
473382000000,Distributor,85
473382000000,Sponsor,78
473382000000,Supervisor,35
473382000000,ResearchGroup,22
473382000000,DataCurator,6
473382000000,Researcher,5
473382000000,Producer,2
504918000000,HostingInstitution,2771
504918000000,DataCollector,2263
504918000000,DataManager,2019
504918000000,Other,857
504918000000,Editor,349
504918000000,RelatedPerson,343
504918000000,Sponsor,213
504918000000,RightsHolder,121
504918000000,ContactPerson,89
504918000000,Distributor,81
504918000000,Supervisor,55
504918000000,DataCurator,30
504918000000,Producer,18
504918000000,ResearchGroup,15
504918000000,Researcher,8
536454000000,DataCollector,4248
536454000000,HostingInstitution,3004
536454000000,DataManager,1987
536454000000,Other,718
536454000000,RelatedPerson,353
536454000000,Sponsor,216
536454000000,Editor,209
536454000000,Distributor,79
536454000000,Supervisor,69
536454000000,ContactPerson,68
536454000000,RightsHolder,62
536454000000,ResearchGroup,21
