"created per year","contributors.contributorType: Descending",Count
2011,HostingInstitution,"154,664"
2011,Editor,"14,571"
2011,DataCollector,"9,032"
2011,Researcher,"7,353"
2011,DataManager,"2,731"
2011,ContactPerson,"1,903"
2011,Other,938
2011,RelatedPerson,709
2011,RightsHolder,352
2011,Funder,146
2011,ProjectLeader,70
2011,RegistrationAgency,55
2011,Producer,24
2011,ResearchGroup,20
2011,Supervisor,7
2011,Sponsor,2
2011,Distributor,1
2011,ProjectMember,1
2012,Other,"35,862"
2012,HostingInstitution,"31,010"
2012,DataManager,"22,242"
2012,Editor,"5,660"
2012,Researcher,"5,183"
2012,DataCollector,"4,439"
2012,ContactPerson,465
2012,Distributor,240
2012,ResearchGroup,142
2012,RelatedPerson,102
2012,Sponsor,81
2012,DataCurator,80
2012,RightsHolder,41
2012,ProjectLeader,36
2012,Funder,26
2012,ProjectMember,24
2012,Supervisor,14
2012,ProjectManager,11
2012,Producer,5
2012,RegistrationAgency,2
2012,RegistrationAuthority,1
2013,DataCollector,"119,995"
2013,Distributor,"116,181"
2013,DataManager,"36,119"
2013,ContactPerson,"30,614"
2013,HostingInstitution,"14,025"
2013,Editor,"7,705"
2013,Other,"4,757"
2013,Researcher,"4,325"
2013,Supervisor,"4,004"
2013,ResearchGroup,993
2013,Producer,739
2013,ProjectLeader,256
2013,RightsHolder,89
2013,Sponsor,52
2013,Funder,42
2013,ProjectMember,29
2013,RelatedPerson,10
2013,DataCurator,6
2013,ProjectManager,4
2013,WorkPackageLeader,2
2014,DataCollector,"258,817"
2014,Distributor,"247,973"
2014,Researcher,"176,940"
2014,HostingInstitution,"14,669"
2014,Editor,"12,352"
2014,DataManager,"9,415"
2014,Other,"5,256"
2014,RelatedPerson,"4,629"
2014,ProjectLeader,"2,603"
2014,ResearchGroup,"1,898"
2014,ContactPerson,"1,510"
2014,Sponsor,835
2014,Supervisor,800
2014,Funder,753
2014,Producer,598
2014,RightsHolder,155
2014,DataCurator,49
2014,ProjectMember,44
2014,RegistrationAgency,25
2014,ProjectManager,10
2014,WorkPackageLeader,10
2015,ContactPerson,"514,432"
2015,HostingInstitution,"39,837"
2015,DataManager,"29,173"
2015,Editor,"23,550"
2015,Researcher,"17,873"
2015,ResearchGroup,"16,927"
2015,Other,"13,553"
2015,RelatedPerson,"9,786"
2015,ProjectLeader,"9,300"
2015,DataCollector,"4,451"
2015,DataCurator,"3,232"
2015,RightsHolder,"2,168"
2015,Supervisor,"2,016"
2015,Producer,"1,629"
2015,Distributor,588
2015,Funder,304
2015,ProjectMember,89
2015,Sponsor,72
2015,ProjectManager,46
2015,WorkPackageLeader,8
2015,RegistrationAgency,4
2016,DataCollector,"184,392"
2016,Editor,"55,555"
2016,ResearchGroup,"52,012"
2016,HostingInstitution,"43,341"
2016,DataManager,"35,170"
2016,Other,"20,832"
2016,RelatedPerson,"12,780"
2016,Researcher,"9,853"
2016,ContactPerson,"7,469"
2016,ProjectLeader,"3,198"
2016,DataCurator,"1,851"
2016,Supervisor,"1,557"
2016,RightsHolder,987
2016,Producer,711
2016,Distributor,709
2016,Sponsor,411
2016,Funder,378
2016,ProjectMember,139
2016,RegistrationAgency,64
2016,ProjectManager,55
2016,WorkPackageLeader,13
2016,RegistrationAuthority,1
2017,Other,"735,146"
2017,Funder,"128,784"
2017,HostingInstitution,"71,384"
2017,DataManager,"62,028"
2017,DataCollector,"34,388"
2017,Editor,"26,727"
2017,Researcher,"14,535"
2017,RelatedPerson,"9,078"
2017,ContactPerson,"8,377"
2017,DataCurator,"8,073"
2017,ProjectLeader,"7,976"
2017,ResearchGroup,"2,819"
2017,Supervisor,"2,717"
2017,Distributor,"2,552"
2017,Producer,"1,728"
2017,RightsHolder,"1,165"
2017,ProjectMember,275
2017,Sponsor,87
2017,WorkPackageLeader,46
2017,RegistrationAgency,42
2017,ProjectManager,31
2017,RegistrationAuthority,16
2018,Other,"358,354"
2018,ContactPerson,"349,259"
2018,ResearchGroup,"127,951"
2018,HostingInstitution,"99,060"
2018,DataCollector,"84,384"
2018,DataManager,"76,112"
2018,Funder,"50,461"
2018,DataCurator,"43,304"
2018,RelatedPerson,"34,357"
2018,ProjectLeader,"34,317"
2018,Researcher,"22,090"
2018,Editor,"16,245"
2018,Producer,"9,530"
2018,Sponsor,"8,371"
2018,Distributor,"6,419"
2018,Supervisor,"6,309"
2018,RightsHolder,828
2018,ProjectMember,347
2018,RegistrationAgency,322
2018,WorkPackageLeader,204
2018,ProjectManager,94
2018,RegistrationAuthority,2
2019,ContactPerson,"297,247"
2019,DataManager,"212,879"
2019,Other,"174,355"
2019,HostingInstitution,"159,806"
2019,Producer,"57,048"
2019,Researcher,"45,488"
2019,DataCollector,"40,291"
2019,Editor,"39,939"
2019,DataCurator,"38,597"
2019,ProjectLeader,"28,345"
2019,RelatedPerson,"19,711"
2019,Distributor,"16,100"
2019,Supervisor,"12,241"
2019,Sponsor,"6,877"
2019,RightsHolder,"6,380"
2019,ResearchGroup,"2,136"
2019,ProjectMember,768
2019,RegistrationAgency,256
2019,Funder,182
2019,ProjectManager,159
2019,WorkPackageLeader,29
2019,RegistrationAuthority,1
2020,ContactPerson,"318,791"
2020,HostingInstitution,"281,519"
2020,RegistrationAuthority,"200,140"
2020,Other,"141,965"
2020,DataManager,"137,167"
2020,Producer,"99,998"
2020,ResearchGroup,"73,625"
2020,DataCollector,"41,606"
2020,Researcher,"40,587"
2020,Supervisor,"29,013"
2020,Distributor,"28,841"
2020,RelatedPerson,"23,728"
2020,Editor,"17,146"
2020,DataCurator,"16,816"
2020,RightsHolder,"12,520"
2020,ProjectLeader,"9,748"
2020,Sponsor,"9,284"
2020,RegistrationAgency,"8,623"
2020,ProjectMember,"2,594"
2020,Funder,215
2020,ProjectManager,125
2020,WorkPackageLeader,9
2021,ContactPerson,"1,953,323"
2021,Other,"135,102"
2021,HostingInstitution,"126,596"
2021,DataManager,"115,570"
2021,ProjectMember,"95,624"
2021,Distributor,"65,479"
2021,Researcher,"48,945"
2021,Producer,"47,783"
2021,RelatedPerson,"26,001"
2021,RightsHolder,"23,427"
2021,Supervisor,"21,443"
2021,DataCollector,"18,923"
2021,RegistrationAgency,"17,855"
2021,DataCurator,"16,647"
2021,Editor,"14,792"
2021,ProjectLeader,"9,113"
2021,RegistrationAuthority,"8,367"
2021,ResearchGroup,"4,392"
2021,Sponsor,"3,920"
2021,ProjectManager,524
2021,Funder,172
2021,WorkPackageLeader,29
2022,ContactPerson,"434,609"
2022,HostingInstitution,"113,618"
2022,Producer,"102,768"
2022,Other,"78,793"
2022,DataManager,"61,877"
2022,ProjectMember,"24,110"
2022,RelatedPerson,"21,916"
2022,Distributor,"21,718"
2022,Researcher,"20,193"
2022,DataCollector,"16,470"
2022,DataCurator,"12,402"
2022,Supervisor,"8,868"
2022,Editor,"8,777"
2022,RightsHolder,"5,656"
2022,ProjectLeader,"3,132"
2022,Sponsor,"1,694"
2022,RegistrationAgency,"1,011"
2022,ResearchGroup,953
2022,ProjectManager,557
2022,RegistrationAuthority,366
2022,WorkPackageLeader,110
2022,Funder,61
