"created per year","contributors.contributorType: Descending",Count
1609455600000,HostingInstitution,179211
1609455600000,DataManager,167639
1609455600000,Other,158924
1609455600000,ProjectMember,95625
1609455600000,Distributor,65698
1609455600000,Researcher,58500
1609455600000,Producer,47783
1609455600000,RelatedPerson,26072
1609455600000,RightsHolder,23432
1609455600000,Supervisor,21452
1609455600000,DataCollector,19424
1609455600000,RegistrationAgency,17855
1609455600000,DataCurator,16700
1609455600000,Editor,15802
1609455600000,ProjectLeader,9114
1609455600000,RegistrationAuthority,8367
1609455600000,ResearchGroup,4438
1609455600000,Sponsor,3967
1609455600000,ProjectManager,524
1609455600000,Funder,172
1609455600000,WorkPackageLeader,29
1640991600000,ContactPerson,437008
1640991600000,HostingInstitution,168728
1640991600000,DataManager,111857
1640991600000,Producer,102770
1640991600000,Other,83762
1640991600000,ProjectMember,24117
1640991600000,Researcher,22636
1640991600000,RelatedPerson,22031
1640991600000,Distributor,21727
1640991600000,DataCollector,17597
1640991600000,DataCurator,12412
1640991600000,Editor,10591
1640991600000,Supervisor,8885
1640991600000,RightsHolder,3594
1640991600000,ProjectLeader,3132
1640991600000,Sponsor,1698
1640991600000,RegistrationAgency,1012
1640991600000,ResearchGroup,968
1640991600000,ProjectManager,557
1640991600000,RegistrationAuthority,366
1640991600000,WorkPackageLeader,110
1640991600000,Funder,62
